"nome_area","count"
"Ling&uuml","1"
"o Social","1"
"Lingüística, Letras e Artes","1"
"Carreira Religiosa","1"
"Meio Ambiente e Sustentabilidade","1"
"Engenharia Textil","1"
"ncia e Tecnologia de Alimentos","1"
"Agronomía","1"
"Energia","1"
"Tecnologias de Materiais","1"
"Tecnologias Ambientais","1"
"Tecnologia e Inovação","1"
"Tecnologia da Informação e Comunicação","1"
"stica","1"
"Servi&ccedil","1"
"&iacute","1"
"Ciências Exatas e da Terra","1"
"Engenharia de Agrimensura","1"
"Tecnologias Sociais e Educacionais","1"
"Historia Natural","2"
"trica","2"
"Tecnologias Médicas e da Saúde","2"
"Secretariado Executivo","2"
"Química Industrial","2"
"Qu&iacute","2"
"ncia Pol&iacute","2"
"mica","2"
"Ciências Agrárias","2"
"Ciências Biológicas","2"
"Ciências Humanas","2"
"Educa&ccedil","2"
"Gen&eacute","2"
"Engenharia El&eacute","2"
"Bot&acirc","3"
"Ci&ecirc","3"
"nica","3"
"Ciências Sociais Aplicadas","3"
"Relações Públicas","3"
"Estudos Sociais","3"
"Engenharia Mecatrônica","4"
"tica","4"
"Engenharia Cartografica","4"
"Ciências Atuarias","5"
"Administra&ccedil","5"
"Desenho de Projetos","6"
"Tecnologias para o Desenvolvimento Sustentável","6"
"o","7"
"Engenharias","7"
"&atilde","7"
"ria","9"
"Medicina Veterin&aacute","9"
"Diplomacia","26"
"Biomedicina","40"
"Segurança Contra Incêndio","45"
"Relações Internacionais","45"
"Administração Rural","103"
"Carreira Militar","109"
"Economia Doméstica","110"
"Microeletrônica","150"
"Ciências Sociais","254"
"Bioética","434"
"Robótica, Mecatrônica e Automação","615"
"Ciências","625"
"Divulgação Científica","963"
"Demografia","1416"
"Engenharia de Minas","1417"
"Museologia","1468"
"Engenharia Naval e Oceânica","1893"
"Engenharia de Energia","1897"
"Astronomia","2332"
"Arqueologia","2965"
"Defesa","3083"
"Engenharia Aeroespacial","3558"
"Engenharia de Transportes","3750"
"Fonoaudiologia","3833"
"Recursos Pesqueiros e Engenharia de Pesca","3839"
"Biofísica","4221"
"Administração Hospitalar","4221"
"Engenharia Nuclear","4775"
"Engenharia Biomédica","4979"
"Imunologia","5256"
"Oceanografia","5350"
"Desenho Industrial","5377"
"Probabilidade e Estatística","5399"
"Parasitologia","5438"
"Turismo","5627"
"Morfologia","5682"
"Biotecnologia","6289"
"Fisioterapia e Terapia Ocupacional","7335"
"Farmacologia","7455"
"Engenharia Agrícola","8161"
"Engenharia Sanitária","8964"
"Nutrição","9173"
"Ciência da Informação","9868"
"Microbiologia","10795"
"Planejamento Urbano e Regional","10885"
"Recursos Florestais e Engenharia Florestal","11023"
"Serviço Social","11338"
"Fisiologia","11409"
"Botânica","12271"
"Teologia","12449"
"Ciências Ambientais","12897"
"Zoologia","15715"
"Genética","16862"
"Antropologia","18241"
"Ciência e Tecnologia de Alimentos","19025"
"Bioquímica","19025"
"Zootecnia","19174"
"Farmácia","19515"
"Engenharia de Materiais e Metalúrgica","20230"
"Engenharia Química","20276"
"Biologia Geral","20762"
"Arquitetura e Urbanismo","21291"
"Educação Física","22449"
"Ciência Política","24688"
"Engenharia de Produção","25684"
"Ecologia","26181"
"Enfermagem","26212"
"Filosofia","26457"
"Medicina Veterinária","27603"
"Geografia","27669"
"Lingüística","27816"
"Engenharia Mecânica","28610"
"Comunicação","29656"
"Geociências","30412"
"Matemática","31135"
"Engenharia Civil","35385"
"Economia","35726"
"Física","36873"
"Odontologia","37361"
"Sociologia","37766"
"Saúde Coletiva","38596"
"Artes","39857"
"Engenharia Elétrica","42672"
"História","43968"
"Ciência da Computação","46731"
"Química","47127"
"Psicologia","57334"
"Multidisciplinar","61343"
"Agronomia","66388"
"Letras","67537"
"Administração","82808"
"Medicina","91834"
"Direito","126587"
"Educação","195554"
