"sigla_instituicao","uf_instituicao","regiao_instituicao","pais_instituicao","qtd_formacoes"
"UFAC","AC","Norte","Brasil","1550"
"UFAL","AL","Nordeste","Brasil","6888"
"UFAM","AM","Norte","Brasil","8087"
"UNIFAP","AP","Norte","Brasil","955"
"UFBA","BA","Nordeste","Brasil","26081"
"UFC","CE","Nordeste","Brasil","25894"
"UNB","DF","Centro-Oeste","Brasil","36356"
"UFES","ES","Sudeste","Brasil","12911"
"UFG","GO","Centro-Oeste","Brasil","17608"
"UFMA","MA","Nordeste","Brasil","5567"
"UFMG","MG","Sudeste","Brasil","46680"
"UFMS","MS","Centro-Oeste","Brasil","7401"
"UFMT","MT","Centro-Oeste","Brasil","8180"
"UFPA","PA","Norte","Brasil","20134"
"UFPB","PB","Nordeste","Brasil","21883"
"UFPE","PE","Nordeste","Brasil","34748"
"UFPI","PI","Nordeste","Brasil","7072"
"UFPR","PR","Sul","Brasil","29116"
"UFRJ","RJ","Sudeste","Brasil","62264"
"UFRN","RN","Nordeste","Brasil","20380"
"UNIR","RO","Norte","Brasil","2329"
"UFRR","RR","Norte","Brasil","994"
"UFRGS","RS","Sul","Brasil","51922"
"UFSC","SC","Sul","Brasil","42315"
"UFS","SE","Nordeste","Brasil","8768"
"USP","SP","Sudeste","Brasil","124471"
"UFT","TO","Norte","Brasil","3112"
"UC","","","Portugal","2771"
